id	code	name	download_link	notes	filename	platform	n_details	ancestry_details	consortium	permissions	assembly	uk_biobank	ancestry	dependent_variable	sex	n_cases	n_controls	n_total	time_created	time_updated	reference_id	phenotype_id	category_id	category_name	phenotype	phenotype_type	pmid	year
151	BODY06F	BMI anorexia-free female	NA	Internal datasets, C. Hübel, KCL, 2017. Software: BGENIE.	BMI_af_maf0.01_female.txt.gz	UK Biobank Array	NA	European	UK BIOBANK	ON DEMAND	GRCh37/hg19	yes	EUR	continuous	female	NA	NA	69193	2019-02-05 16:38:00	2019-02-05 16:38:00	1	76	1	anthropometric	BMI	trait	NA	NA
152	BODY06M	BMI anorexia-free male	NA	Internal datasets, C. Hübel, KCL, 2017. Software: BGENIE.	BMI_af_maf0.01_male.txt.gz	UK Biobank Array	NA	European	UK BIOBANK	ON DEMAND	GRCh37/hg19	yes	EUR	continuous	male	NA	NA	85261	2019-02-05 16:38:00	2019-02-05 16:38:00	1	76	1	anthropometric	BMI	trait	NA	NA
153	BODY07	BMI healthy	NA	Internal datasets, C. Hübel, KCL, 2017. Software: BGENIE.	BMI_h_maf0.01_full.txt.gz	UK Biobank Array	NA	European	UK BIOBANK	ON DEMAND	GRCh37/hg19	yes	EUR	continuous	both	NA	NA	155961	2019-02-05 16:38:00	2019-02-05 16:38:00	1	76	1	anthropometric	BMI	trait	NA	NA
154	BODY07B	BMI healthy meta-analysis of males and females	NA	Internal datasets, C. Hübel, KCL, 2017. Software: BGENIE.	BMI_h_maf0.01_meta_pos.txt.gz	UK Biobank Array	NA	European	UK BIOBANK	ON DEMAND	GRCh37/hg19	yes	EUR	continuous	both	NA	NA	155961	2019-02-05 16:38:00	2019-02-05 16:38:00	1	76	1	anthropometric	BMI	trait	NA	NA
155	BODY07F	BMI healthy female	NA	Internal datasets, C. Hübel, KCL, 2017. Software: BGENIE.	BMI_h_maf0.01_female.txt.gz	UK Biobank Array	NA	European	UK BIOBANK	ON DEMAND	GRCh37/hg19	yes	EUR	continuous	female	NA	NA	70700	2019-02-05 16:38:00	2019-02-05 16:38:00	1	76	1	anthropometric	BMI	trait	NA	NA
156	BODY07M	BMI healthy male	NA	Internal datasets, C. Hübel, KCL, 2017. Software: BGENIE.	BMI_h_maf0.01_male.txt.gz	UK Biobank Array	NA	European	UK BIOBANK	ON DEMAND	GRCh37/hg19	yes	EUR	continuous	male	NA	NA	85165	2019-02-05 16:38:00	2019-02-05 16:38:00	1	76	1	anthropometric	BMI	trait	NA	NA
157	BODY08	BMI	https://phenviz.navigome.com/downloads	Internal datasets, C. Hübel, KCL, 2017. Software: BGENIE.	BMI_c_maf0.01_full.txt.gz	UK Biobank Array	NA	European	UK BIOBANK	ON DEMAND	GRCh37/hg19	yes	EUR	continuous	both	NA	NA	353972	2019-02-05 16:38:00	2019-02-05 16:38:00	1	76	1	anthropometric	BMI	trait	NA	NA
158	BODY08B	BMI meta-analysis of males and females	NA	Internal datasets, C. Hübel, KCL, 2017. Software: BGENIE.	BMI_c_maf0.01_meta_pos.txt.gz	UK Biobank Array	NA	European	UK BIOBANK	ON DEMAND	GRCh37/hg19	yes	EUR	continuous	both	NA	NA	353972	2019-02-05 16:38:00	2019-02-05 16:38:00	1	76	1	anthropometric	BMI	trait	NA	NA
159	BODY08F	BMI female	NA	Internal datasets, C. Hübel, KCL, 2017. Software: BGENIE.	BMI_c_maf0.01_female.txt.gz	UK Biobank Array	NA	European	UK BIOBANK	ON DEMAND	GRCh37/hg19	yes	EUR	continuous	female	NA	NA	180765	2019-02-05 16:38:00	2019-02-05 16:38:00	1	76	1	anthropometric	BMI	trait	NA	NA
160	BODY08M	BMI male	NA	Internal datasets, C. Hübel, KCL, 2017. Software: BGENIE.	BMI_c_maf0.01_male.txt.gz	UK Biobank Array	NA	European	UK BIOBANK	ON DEMAND	GRCh37/hg19	yes	EUR	continuous	male	NA	NA	173207	2019-02-05 16:38:00	2019-02-05 16:38:00	1	76	1	anthropometric	BMI	trait	NA	NA
161	BODY09	BMI childhood: 3-10 years	https://egg-consortium.org/downloads/EGG_BMI_HapMap_DISCOVERY.txt.gz	NA	EGG_BMI_HapMap_DISCOVERY.txt.gz	NA	NA	European (+ Finnish + 1 cohort: Turkish, Moroccon, Surinamese)	NA	FREE	NA	no	EUR	continuous	both	NA	NA	35668	2019-02-05 16:38:00	2019-02-05 16:38:00	68	78	1	anthropometric	BMI childhood	trait	26604143	2015
162	BODY10	BMI (childhood: 8 years) change	NA	NA	MetaAnalysis_SNP_Wald_WaldInt_12April2018.txt.gz	NA	NA	European	NA	EATING DISORDERS AND DRUG TARGETOR	NA	no	EUR	continuous	both	NA	NA	9377	2019-02-05 16:38:00	2019-02-05 16:38:00	56	78	1	anthropometric	BMI childhood	trait	25953783	2015
163	BODY11	BMI Locke & UKB (updated)			Meta-analysis_Locke_et_al+UKBiobank_2018_UPDATED.txt.gz				GIANT	FREE	NA	yes	EUR	continuous	both	NA	NA	681275	2019-02-05 16:38:00	2019-10-09 17:49:48	130	76	1	anthropometric	BMI	trait	30124842	2018
164	BODY12	BMI adolescence & young adulthood	NA	NA	BMILEVEL_REPDISC_ALLsnps_SE_040220131.TBL.gz	NA	NA	European	NA	EATING DISORDERS AND DRUG TARGETOR	NA	no	EUR	continuous	both	NA	NA	29054	2019-02-05 16:38:00	2019-02-05 16:38:00	31	77	1	anthropometric	BMI adolescence & young adulthood	trait	23669352	2013
165	BODY12F	BMI adolescence & young adulthood female	NA	NA	BMILEVEL_REPDISC_WOMENsnps_SE_040920131.TBL.gz	NA	NA	European	NA	EATING DISORDERS AND DRUG TARGETOR	NA	no	EUR	continuous	female	NA	NA	13094	2019-02-05 16:38:00	2019-02-05 16:38:00	31	77	1	anthropometric	BMI adolescence & young adulthood	trait	23669352	2013
166	BODY12M	BMI adolescence & young adulthood male	NA	NA	BMILEVEL_REPDISC_MENsnps_SE_040920131.TBL.gz	NA	NA	European	NA	EATING DISORDERS AND DRUG TARGETOR	NA	no	EUR	continuous	male	NA	NA	15262	2019-02-05 16:38:00	2019-02-05 16:38:00	31	77	1	anthropometric	BMI adolescence & young adulthood	trait	23669352	2013
665	BODY13B	Body mass index healthy meta-analysis (not alcohol/smoking-adjust)			BMI.healthy.meta.excl.alc.smoke.se1.cor.TBL.gz					FREE	NA	yes	EUR	continuous	both	NA	NA	155961	2019-05-21 15:03:41	2019-05-21 15:03:41	1	76	1	anthropometric	BMI	trait	NA	NA
167	BORD01	Borderline Personality disorder	NA	NA	daner_boma_bpd_sample_no_comorbid_2.gz	NA	NA	European	NA	EATING DISORDERS AND DRUG TARGETOR	NA	no	EUR	binary	both	998	1545	2543	2019-02-05 16:38:00	2019-02-05 16:38:00	115	147	7	mental and behavioural	borderline personality disorder	disorder	28632202	2017
751	BRCA01	Breast Cancer (ER+ve and ER-ve)	http://bcac.ccge.medschl.cam.ac.uk/files/oncoarray_bcac_public_release_oct17.txt.gz	Sumstats for Breast Cancer (ER+ve and ER-ve) were extracted in advance by Oliver Pain (oliver.pain@kcl.ac.uk)	oncoarray_bcac_public_release_oct17.small.OPain_edit.txt.gz					FREE	GRCh37/hg19	no	EUR	continuous	female	122977	105974	228951	2021-01-11 15:02:57	2021-01-11 15:34:29	151	450	14	other	breast cancer	trait	29059683	2017
168	CANU01	Lifetime cannabis use	https://www.dropbox.com/sh/plm0xlcu4kcyev0/AAAEhO2k2dKPcrlGdiVHBPV5a?dl=0	NA	CCI_discovery_MA_13_samples_07-18-2015_rs.txt.gz	NA	NA	European	NA	FREE	GRCh37/hg19	no	EUR	binary	both	14374	17956	32330	2019-02-05 16:38:00	2019-02-05 16:38:00	79	159	7	mental and behavioural	cannabis use	trait	27023175	2016
169	CAUD01	Subcortical brain regions: Caudate	http://enigma.ini.usc.edu/publications/enigma-2/data-agreement-for-enigma2-download/	NA	ENIGMA2_MeanCaudate_Combined_GenomeControlled_Jan23.tbl.gz	NA	NA	European	ENIGMA 	ON DEMAND	GRCh37/hg19	no	EUR	continuous	both	NA	NA	13171	2019-02-05 16:38:00	2019-02-05 16:38:00	52	370	13	nervous system	brain vol. caudate	trait	25607358	2015
170	CELI01	Celiac Disease	https://www.immunobase.org/downloads/protected_data/GWAS_Data/hg19_gwas_cel_dubois_4_19_1.tab	NA	hg19_gwas_cel_dubois_4_19_1.tab.gz	NA	NA	European	NA	FREE	GRCh37/hg19	no	EUR	binary	both	4533	10750	15283	2019-02-05 16:38:00	2019-02-05 16:38:00	5	60	2	autoimmune	celiac disease	disorder	20190752	2010
171	CHKD01	CKD (chronic kidney disease)	https://fox.nhlbi.nih.gov/CKDGen/formatted_round3meta_CKD_overall_IV_2GC_b36_MAFget005_Nget50_20120725_b37.csv.gz	NA	formatted_round3meta_CKD_overall_IV_2GC_b36_MAFget005_Nget50_20120725_b37.csv.gz	NA	NA	European	CKDGen	FREE	NA	no	EUR	binary	both	12385	104780	117165	2019-02-05 16:38:00	2019-02-05 16:38:00	71	61	6	genitourinary	chronic kidney disease	disorder	26831199	2016
172	CHOL01	Cholesterol esters in large HDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_L.HDL.CE.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	19273	2019-02-05 16:38:00	2019-02-05 16:38:00	77	251	10	metabolism: lipids	cholesterol esters in large HDL	biomarker	27005778	2016
173	CHOL02	Cholesterol esters in large LDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_L.LDL.CE.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	19273	2019-02-05 16:38:00	2019-02-05 16:38:00	77	252	10	metabolism: lipids	cholesterol esters in large LDL	biomarker	27005778	2016
174	CHOL03	Cholesterol esters in large VLDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_L.VLDL.CE.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	18960	2019-02-05 16:38:00	2019-02-05 16:38:00	77	253	10	metabolism: lipids	cholesterol esters in large VLDL	biomarker	27005778	2016
175	CHOL04	Cholesterol esters in medium HDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_M.HDL.CE.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	19273	2019-02-05 16:38:00	2019-02-05 16:38:00	77	254	10	metabolism: lipids	cholesterol esters in medium HDL	biomarker	27005778	2016
176	CHOL05	Cholesterol esters in medium LDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_M.LDL.CE.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	19273	2019-02-05 16:38:00	2019-02-05 16:38:00	77	255	10	metabolism: lipids	cholesterol esters in medium LDL	biomarker	27005778	2016
177	CHOL06	Cholesterol esters in medium VLDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_M.VLDL.CE.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	19273	2019-02-05 16:38:00	2019-02-05 16:38:00	77	256	10	metabolism: lipids	cholesterol esters in medium VLDL	biomarker	27005778	2016
178	CHOL07	Cholesterol esters in very large HDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_XL.HDL.CE.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	19273	2019-02-05 16:38:00	2019-02-05 16:38:00	77	257	10	metabolism: lipids	cholesterol esters in very large HDL	biomarker	27005778	2016
179	CHOL08	Cholesterol in large HDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_L.HDL.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21558	2019-02-05 16:38:00	2019-02-05 16:38:00	77	258	10	metabolism: lipids	cholesterol in large HDL	biomarker	27005778	2016
180	CHOL09	Mean diameter for HDL particles	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_HDL.D.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	19273	2019-02-05 16:38:00	2019-02-05 16:38:00	77	273	10	metabolism: lipids	diameter HDL ptcl.	biomarker	27005778	2016
181	CHOL10	Free cholesterol	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_Free.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	13497	2019-02-05 16:38:00	2019-02-05 16:38:00	77	279	10	metabolism: lipids	free cholesterol	biomarker	27005778	2016
182	CHOL11	Free cholesterol in IDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_IDL.FC.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21559	2019-02-05 16:38:00	2019-02-05 16:38:00	77	280	10	metabolism: lipids	free cholesterol in IDL	biomarker	27005778	2016
183	CHOL12	Free cholesterol in large HDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_L.HDL.FC.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21559	2019-02-05 16:38:00	2019-02-05 16:38:00	77	281	10	metabolism: lipids	free cholesterol in large HDL	biomarker	27005778	2016
184	CHOL13	Free cholesterol in large LDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_L.LDL.FC.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21555	2019-02-05 16:38:00	2019-02-05 16:38:00	77	282	10	metabolism: lipids	free cholesterol in large LDL	biomarker	27005778	2016
185	CHOL14	Free cholesterol in large VLDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_L.VLDL.FC.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21238	2019-02-05 16:38:00	2019-02-05 16:38:00	77	283	10	metabolism: lipids	free cholesterol in large VLDL	biomarker	27005778	2016
186	CHOL15	Free cholesterol in medium HDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_M.HDL.FC.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21559	2019-02-05 16:38:00	2019-02-05 16:38:00	77	284	10	metabolism: lipids	free cholesterol in medium HDL	biomarker	27005778	2016
187	CHOL16	Free cholesterol in medium VLDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_M.VLDL.FC.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21240	2019-02-05 16:38:00	2019-02-05 16:38:00	77	285	10	metabolism: lipids	free cholesterol in medium VLDL	biomarker	27005778	2016
188	CHOL17	Free cholesterol in small VLDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_S.VLDL.FC.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21559	2019-02-05 16:38:00	2019-02-05 16:38:00	77	286	10	metabolism: lipids	free cholesterol in small VLDL	biomarker	27005778	2016
189	CHOL18	Free cholesterol in very large HDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_XL.HDL.FC.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21542	2019-02-05 16:38:00	2019-02-05 16:38:00	77	287	10	metabolism: lipids	free cholesterol in very large HDL	biomarker	27005778	2016
190	CHOL19	Free cholesterol to esterified cholesterol ratio	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_Est.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	13497	2019-02-05 16:38:00	2019-02-05 16:38:00	77	288	10	metabolism: lipids	free cholesterol to esterified cholesterol	biomarker	27005778	2016
191	CHOL20	Serum total cholesterol	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_Serum.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21491	2019-02-05 16:38:00	2019-02-05 16:38:00	77	310	10	metabolism: lipids	serum total cholesterol	biomarker	27005778	2016
192	CHOL21	Total cholesterol	http://csg.sph.umich.edu/abecasis/public/lipids2010/TC_with_Effect.zip	NA	TC_with_Effect.tbl.gz	NA	NA	European	GLGC	FREE	NCBI36/hg18	no	EUR	continuous	both	NA	NA	100184	2019-02-05 16:38:00	2019-02-05 16:38:00	8	313	10	metabolism: lipids	total cholesterol	biomarker	20686565	2010
193	CHOL22	Total cholesterol in HDL	http://csg.sph.umich.edu/abecasis/public/lipids2010/HDL_with_Effect.zip	NA	HDL_with_Effect.tbl.gz	NA	NA	European	GLGC	FREE	NCBI36/hg18	no	EUR	continuous	both	NA	NA	99900	2019-02-05 16:38:00	2019-02-05 16:38:00	8	314	10	metabolism: lipids	total cholesterol in HDL	biomarker	20686565	2010
194	CHOL23	Total cholesterol in HDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_HDL.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21555	2019-02-05 16:38:00	2019-02-05 16:38:00	77	314	10	metabolism: lipids	total cholesterol in HDL	biomarker	27005778	2016
195	CHOL24	Total cholesterol in IDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_IDL.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	19273	2019-02-05 16:38:00	2019-02-05 16:38:00	77	315	10	metabolism: lipids	total cholesterol in IDL	biomarker	27005778	2016
196	CHOL25	Total cholesterol in large LDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_L.LDL.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21552	2019-02-05 16:38:00	2019-02-05 16:38:00	77	317	10	metabolism: lipids	total cholesterol in large LDL	biomarker	27005778	2016
197	CHOL26	Total cholesterol in large VLDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_L.VLDL.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21235	2019-02-05 16:38:00	2019-02-05 16:38:00	77	318	10	metabolism: lipids	total cholesterol in large VLDL	biomarker	27005778	2016
198	CHOL27	Total cholesterol in LDL	http://csg.sph.umich.edu/abecasis/public/lipids2010/LDL_with_Effect.zip	NA	LDL_with_Effect.tbl.gz	NA	NA	European	GLGC	FREE	NCBI36/hg18	no	EUR	continuous	both	NA	NA	95454	2019-02-05 16:38:00	2019-02-05 16:38:00	8	316	10	metabolism: lipids	total cholesterol in LDL	biomarker	20686565	2010
199	CHOL28	Total cholesterol in LDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_LDL.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21559	2019-02-05 16:38:00	2019-02-05 16:38:00	77	316	10	metabolism: lipids	total cholesterol in LDL	biomarker	27005778	2016
200	CHOL29	Total cholesterol in medium HDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_M.HDL.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21558	2019-02-05 16:38:00	2019-02-05 16:38:00	77	319	10	metabolism: lipids	total cholesterol in medium HDL	biomarker	27005778	2016
201	CHOL30	Total cholesterol in medium LDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_M.LDL.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21559	2019-02-05 16:38:00	2019-02-05 16:38:00	77	320	10	metabolism: lipids	total cholesterol in medium LDL	biomarker	27005778	2016
202	CHOL31	Total cholesterol in medium VLDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_M.VLDL.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21551	2019-02-05 16:38:00	2019-02-05 16:38:00	77	321	10	metabolism: lipids	total cholesterol in medium VLDL	biomarker	27005778	2016
203	CHOL32	Total cholesterol in small LDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_S.LDL.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21556	2019-02-05 16:38:00	2019-02-05 16:38:00	77	322	10	metabolism: lipids	total cholesterol in small LDL	biomarker	27005778	2016
204	CHOL33	Total cholesterol in small VLDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_S.VLDL.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21557	2019-02-05 16:38:00	2019-02-05 16:38:00	77	323	10	metabolism: lipids	total cholesterol in small VLDL	biomarker	27005778	2016
205	CHOL34	Total cholesterol in very large HDL	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_XL.HDL.C.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	21540	2019-02-05 16:38:00	2019-02-05 16:38:00	77	324	10	metabolism: lipids	total cholesterol in very large HDL	biomarker	27005778	2016
756	CHOL35	Total Cholesterol	http://csg.sph.umich.edu/willer/public/lipids2013/	JOINT ANALYSIS OF METABOCHIP AND GWAS DATA	jointGwasMc_TC.txt.gz				Global Lipids Genetics Consortium	FREE	GRCh37/hg19	no	MIX	continuous	both	NA	NA	187365	2021-05-26 19:34:43	2021-05-26 19:34:43	157	313	10	metabolism: lipids	total cholesterol	biomarker	24097068	2013
206	CHRO01	Chronotype	http://www.t2diabetesgenes.org/datasets/Chronotype_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz	NA	Chronotype_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz	NA	NA	European	UK BIOBANK	FREE	GRCh37/hg19	yes	EUR	continuous	both	NA	NA	128266	2019-02-05 16:38:00	2019-02-05 16:38:00	88	161	7	mental and behavioural	chronotype	trait	27494321	2016
207	CHRO02	Sleep Duration	http://www.t2diabetesgenes.org/datasets/Sleep_Duration_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz	NA	Sleep_Duration_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz	NA	NA	European	UK BIOBANK	FREE	GRCh37/hg19	yes	EUR	continuous	both	NA	NA	128266	2019-02-05 16:38:00	2019-02-05 16:38:00	88	185	7	mental and behavioural	sleep duration	trait	27494321	2016
208	CHRO05	Oversleeper	http://www.t2diabetesgenes.org/datasets/bin_oversleeper_BOLT.output_for_plotting_maf0.001_hwe1eminus5_qual0.4.txt.gz	NA	bin_oversleeper_BOLT.output_for_plotting_maf0.001_hwe1eminus5_qual0.4.txt.gz	NA	NA	European	UK BIOBANK	FREE	NA	yes	EUR	binary	both	NA	NA	128266	2019-02-05 16:38:00	2019-02-05 16:38:00	88	180	7	mental and behavioural	oversleeper	trait	27494321	2016
209	CHRO06	Undersleeper	http://www.t2diabetesgenes.org/datasets/bin_undersleeper_BOLT.output_for_plotting_maf0.001_hwe1eminus5_qual0.4.txt.gz	NA	bin_undersleeper_BOLT.output_for_plotting_maf0.001_hwe1eminus5_qual0.4.txt.gz	NA	NA	European	UK BIOBANK	FREE	NA	yes	EUR	binary	both	NA	NA	128266	2019-02-05 16:38:00	2019-02-05 16:38:00	88	195	7	mental and behavioural	undersleeper	trait	27494321	2016
210	CIRR01	Primary Biliary Cirrhosis	https://www.immunobase.org/downloads/protected_data/GWAS_Data/hg19_gwas_pbc_cordell_4_20_0.tab	NA	hg19_gwas_pbc_cordell_4_20_0.tab.gz	NA	NA	European	Canadian-US PBC Consortium, Italian PBC Genetics Study Group, UK-PBC Consortium	FREE	GRCh37/hg19	no	EUR	binary	both	2764	10475	13239	2019-02-05 16:38:00	2019-02-05 16:38:00	64	72	2	autoimmune	primary biliary cirrhosis	disorder	26394269	2015
211	COAD01	Coronary Artery Disease (European, South Asian and East Asian) additive model	http://www.cardiogramplusc4d.org/media/cardiogramplusc4d-consortium/data-downloads/cad.additive.Oct2015.pub.zip	NA	cad.add.160614.website.txt.gz	NA	NA	European and South Asian (Pakistan, India) and East Asian (China, Korea) and Hispanic and African Americans, but mostly European	CARDIoGRAMplusC4D	FREE	GRCh37/hg19	no	MIX	binary	both	60801	123504	184305	2019-02-05 16:38:00	2019-02-05 16:38:00	61	63	4	circulatory	coronary artery disease	disorder	26343387	2015
212	COAD02	Coronary Artery Disease (European, South Asian and East Asian) recessive model	http://www.cardiogramplusc4d.org/media/cardiogramplusc4d-consortium/data-downloads/cad.recessive.Oct2015.pub.zip	NA	cad.rec.090715.web.txt.gz	NA	NA	European and South Asian (Pakistan, India) and East Asian (China, Korea) and Hispanic and African Americans	CARDIoGRAMplusC4D	FREE	GRCh37/hg19	no	MIX	binary	both	60801	123504	184305	2019-02-05 16:38:00	2019-02-05 16:38:00	61	63	4	circulatory	coronary artery disease	disorder	26343387	2015
213	COAD03	Coronary Artery Disease	http://www.cardiogramplusc4d.org/media/cardiogramplusc4d-consortium/data-downloads/UKBB.GWAS1KG.EXOME.CAD.SOFT.META.PublicRelease.300517.txt.gz	NA	UKBB.GWAS1KG.EXOME.CAD.SOFT.META.PublicRelease.300517.txt.gz	NA	NA	European (UKBB)	CARDIoGRAMplusC4D	FREE	NA	yes	EUR	binary	both	NA	NA	336924	2019-02-05 16:38:00	2019-02-05 16:38:00	116	63	4	circulatory	coronary artery disease	disorder	28714975	2017
214	COLL01	Binary variable for college completion	http://ssgac.org/documents/SSGAC_Rietveld2013.zip	NA	SSGAC_College_Rietveld2013_publicrelease.txt.gz	NA	NA	European	SSGAC	FREE	NCBI36/hg18	no	EUR	binary	both	NA	NA	95427	2019-02-05 16:38:00	2019-02-05 16:38:00	33	162	7	mental and behavioural	college completion	trait	23722424	2013
215	CONS01	Conscientiousness (NEO five factor inventory)	https://www.dropbox.com/s/df3bifmk238ks2y/GPC-1.BigFiveNEO.zip?dl=0	NA	GPC-1.NEO-CONSCIENTIOUSNESS.full.txt.gz	NA	NA	European	GPC	FREE	NCBI36/hg18	no	EUR	continuous	both	NA	NA	17375	2019-02-05 16:38:00	2019-02-05 16:38:00	12	163	7	mental and behavioural	conscientiousness	trait	21173776	2012
